id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
4,2026-09-01,2821,40,10,5,1866.62,456.99,244461.27
7,2025-02-09,1254,25,11,4,1400.82,188.4,258202.93
14,2026-01-20,367,65,1,11,0.0,122.12,249504.31
19,2025-05-19,1693,50,3,9,1257.43,237.2,106454.95
27,2025-06-25,352,30,3,6,-1290.55,179.37,162227.75
37,2025-11-13,2846,75,10,3,800.22,104.7,66127.82
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
52,2025-01-24,1746,33,1,10,1429.69,78.5,173202.87
53,2025-09-29,1962,79,1,3,0.0,305.78,265915.68
54,2025-07-22,2969,3,4,3,421.01,63.89,13911.37
55,2026-02-12,2340,26,10,6,1954.65,431.08,150219.71
63,2025-03-05,3691,55,10,7,-1680.49,242.41,238110.36
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
77,2025-11-12,2386,79,14,12,1324.27,144.93,92440.33
85,2025-03-18,151,6,7,2,967.01,62.59,92114.86
91,2025-06-24,2778,14,3,1,158.84,26.5,9146.22
95,2026-01-18,106,11,3,7,1953.28,313.86,356037.27
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
103,2025-05-26,927,29,7,9,1179.01,231.56,150298.39
118,2025-05-08,2114,78,1,2,348.72,36.88,68328.79
148,2025-12-23,848,13,8,3,505.33,68.83,88566.14
167,2026-02-20,743,77,6,5,605.91,121.04,58769.89
170,2025-12-18,2800,6,1,2,917.66,131.25,177908.61
178,2026-01-04,833,71,4,10,1310.85,160.19,41123.88
196,2025-06-14,1172,54,6,7,1568.46,283.24,87378.2
199,2025-07-31,1268,39,15,8,1558.42,251.72,191348.34
213,2025-07-12,214,28,8,11,192.43,45.37,21029.68
217,2025-11-06,432,3,15,10,1422.59,251.31,174594.04
226,2025-04-02,832,44,3,6,1664.22,213.11,43423.44
236,2025-07-10,2906,18,7,3,235.8,42.67,25121.58
253,2025-01-14,1563,59,10,10,792.74,145.28,71091.98
263,2025-04-16,828,38,15,7,961.19,172.58,65328.26
264,2025-04-11,2337,80,8,5,267.35,45.16,43006.11
269,2025-09-13,1685,65,8,1,0.0,132.5,112445.07
280,2025-06-22,1387,76,1,4,154.59,23.6,19097.08
