id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
1,,184,42,15,2,,,139253.11
2,2026-02-16,2408,35,11,12,,,
3,2025-02-14,540,42,4,9,1611.53,,
5,2026-02-13,945,23,9,11,,,123407.75
6,2025-05-02,1295,17,1,1,943.49,,71968.43
8,2026-01-11,887,77,3,8,1670.56,258.75,
9,2025-02-28,1670,66,8,12,,,125804.84
10,2026-01-24,2281,69,13,3,791.38,,20710.0
11,2025-03-21,2590,25,8,4,,,
12,2025-10-19,1521,14,11,5,726.02,,86216.65
13,2025-08-19,1527,9,14,9,708.37,,
15,2025-12-27,1954,62,13,4,,,
16,2025-01-07,424,19,5,11,,39.07,
17,2025-10-09,856,73,14,8,832.85,,94675.98
18,2025-01-15,123,75,2,5,,39.57,
20,2025-03-26,522,32,1,3,487.69,,
21,2026-01-13,179,34,2,9,,,
22,2025-09-07,2160,71,5,5,,,
23,2025-03-21,61,19,3,5,,,163649.61
24,2025-04-26,302,15,15,9,,8.98,15865.44
25,2025-02-13,101,34,8,2,,,269942.16
26,2025-07-29,2295,71,11,4,614.46,,36670.97
28,2025-02-21,1213,65,8,9,464.73,,18041.73
29,,1101,7,8,12,,54.06,
30,2025-07-05,2493,14,12,4,816.71,199.22,
31,2025-08-07,1847,45,4,2,,,
32,2025-07-28,388,22,6,4,822.52,,
33,2025-09-18,1034,67,2,8,73.63,13.25,
34,2025-12-01,1969,41,10,5,,256.53,202107.44
35,2025-01-19,1139,79,1,3,,191.44,
36,2025-06-12,2313,53,12,6,779.35,64.18,
38,2025-04-21,2327,39,13,7,,,
39,2025-11-15,629,62,11,7,,206.36,75584.63
40,2025-08-09,25,47,6,9,1300.11,189.22,
41,2025-11-10,3651,48,13,5,,106.27,136809.9
42,,2455,31,5,11,,,
43,2025-11-06,2657,8,6,1,-1261.22,,248818.74
44,,1701,10,14,10,946.36,153.66,153121.65
45,2025-12-11,2278,66,3,11,1539.37,240.41,
46,2025-11-04,2761,28,2,1,,,23965.61
47,,2482,18,3,2,,242.77,69252.65
48,2025-07-16,259,29,14,1,,46.88,55688.51
50,2025-02-22,717,49,15,10,518.78,,
51,2025-06-04,2801,67,5,4,,321.59,
56,2025-03-09,2767,28,7,8,,,
57,2025-04-16,852,4,13,1,,,
58,2025-03-29,454,6,15,8,,213.26,
59,2025-02-01,1934,18,1,2,1253.51,,149260.92
60,2026-01-26,3686,51,6,2,,,
61,2025-07-03,1759,23,4,12,142.93,13.14,
62,2025-12-16,584,36,4,8,695.24,63.23,
64,2025-07-20,1081,75,8,1,,17.48,
65,,697,67,1,10,302.71,462.2,
67,2025-11-22,1246,31,6,5,,359.79,258570.08
68,2025-02-14,475,43,13,3,,187.12,235726.94
69,2025-05-22,2178,76,1,4,,20.56,
70,2025-03-09,730,78,15,4,,146.22,
71,2025-08-16,3656,77,10,2,258.6,,
72,2026-01-28,2797,14,2,7,,8.38,
73,2025-03-01,841,26,7,12,,,
74,2025-01-04,2814,64,5,7,,358.53,279782.46
75,2025-11-21,1345,51,15,1,,,
76,2025-09-20,2671,14,9,5,,381.13,
78,2025-10-25,698,55,3,7,1298.49,,
79,2025-06-24,2375,66,4,10,,,142122.95
80,2025-09-17,914,64,6,7,,282.52,44463.35
81,2025-11-30,2745,13,13,11,1688.38,,
82,2025-07-18,2392,21,3,4,,83.63,
83,2025-04-25,357,18,15,11,,,
84,2025-01-28,772,18,3,4,,84.39,41526.61
86,2025-10-10,3714,32,15,11,1214.28,293.02,
87,2025-03-18,2217,98,11,12,,,94028.85
