id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,motivo_rechazo
2,2465,2025-08-01,,Abierto,monto_siniestro_no_valido
5,12908,2025-12-01,,Rechazado,monto_siniestro_no_valido
6,5107,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
7,3379,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
9,18118,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
10,19947,,8801.03,Cerrado,fecha_nula_o_invalida
11,6448,2025-05-31,,Abierto,monto_siniestro_no_valido
12,4096,2026-02-23,,Rechazado,monto_siniestro_no_valido
13,3716,2025-07-13,-4274.39,Rechazado,monto_siniestro_invalido
14,8260,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
15,19142,,14533.77,Abierto,fecha_nula_o_invalida
16,16312,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
17,2112,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
18,4445,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
19,5547,,5714.06,Cerrado,fecha_nula_o_invalida
20,21508,,8867.02,nan,fecha_nula_o_invalida
21,8637,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
23,5261,,6636.22,Abierto,fecha_nula_o_invalida
26,7930,,1326.94,Abierto,fecha_nula_o_invalida
28,3123,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
29,18397,,1485.06,Abierto,fecha_nula_o_invalida
30,20396,2025-09-30,,nan,monto_siniestro_no_valido
31,14500,2026-01-17,,Cerrado,monto_siniestro_no_valido
32,20349,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
34,14393,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
35,15273,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
37,504,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
38,1202,2025-10-21,,Cerrado,monto_siniestro_no_valido
39,551,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
40,8220,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
41,4657,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
42,3586,2026-01-31,,nan,monto_siniestro_no_valido
43,11680,,10535.93,Cerrado,fecha_nula_o_invalida
44,17906,2025-06-22,,Abierto,monto_siniestro_no_valido
46,2860,2025-07-13,,Rechazado,monto_siniestro_no_valido
47,6904,,7795.35,Abierto,fecha_nula_o_invalida
48,503,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
49,12852,,4828.13,nan,fecha_nula_o_invalida
50,25778,,11437.5,nan,fecha_nula_o_invalida
51,1344,2025-08-15,,nan,monto_siniestro_no_valido
52,22187,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
53,11106,,2182.44,Cerrado,fecha_nula_o_invalida
54,14544,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
55,19232,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
56,14610,2025-11-27,,Abierto,monto_siniestro_no_valido
57,11757,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
58,9803,2025-03-23,,nan,monto_siniestro_no_valido
59,4806,2025-01-16,,Cerrado,monto_siniestro_no_valido
60,15711,,2916.65,Cerrado,fecha_nula_o_invalida
61,16070,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
62,14407,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
63,22281,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
64,10093,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
65,19562,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
67,5049,2025-05-26,,Rechazado,monto_siniestro_no_valido
68,4916,,5792.24,nan,fecha_nula_o_invalida
70,18587,2025-12-18,,Cerrado,monto_siniestro_no_valido
71,19836,,5377.67,nan,fecha_nula_o_invalida
72,23320,2026-02-20,,nan,monto_siniestro_no_valido
73,14099,,11459.27,Abierto,fecha_nula_o_invalida
75,9867,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
76,18282,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
77,8700,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
78,4535,2026-02-12,,Cerrado,monto_siniestro_no_valido
79,7460,,11711.43,Cerrado,fecha_nula_o_invalida
80,23359,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
81,10359,2025-10-20,,Cerrado,monto_siniestro_no_valido
83,16988,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
84,2227,2025-09-26,,Abierto,monto_siniestro_no_valido
85,7153,,5079.34,nan,fecha_nula_o_invalida
86,25554,2025-03-13,,nan,monto_siniestro_no_valido
87,23591,,1777.81,Abierto,fecha_nula_o_invalida
88,14027,,10253.14,Abierto,fecha_nula_o_invalida
89,12761,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
90,21277,,6602.43,Rechazado,fecha_nula_o_invalida
91,80,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
92,13736,2025-03-28,,nan,monto_siniestro_no_valido
94,15160,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
96,17713,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
97,13086,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
98,19925,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
99,18399,2025-06-27,,Cerrado,monto_siniestro_no_valido
100,24052,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
102,8858,,5155.2,Cerrado,fecha_nula_o_invalida
103,19170,,10183.94,nan,fecha_nula_o_invalida
104,1153,,2580.4,nan,fecha_nula_o_invalida
106,2501,,511.1,Abierto,fecha_nula_o_invalida
108,1500,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
109,9413,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
110,16745,,8484.21,Abierto,fecha_nula_o_invalida
112,6548,,13134.7,Cerrado,fecha_nula_o_invalida
113,8649,,10126.28,Abierto,fecha_nula_o_invalida
114,5370,2025-03-10,,Cerrado,monto_siniestro_no_valido
115,24834,,12189.58,Abierto,fecha_nula_o_invalida
116,8222,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
117,12941,2025-12-12,,Abierto,monto_siniestro_no_valido
118,21719,2025-02-28,,Abierto,monto_siniestro_no_valido
119,1874,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
120,21805,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
121,3645,,13084.42,Rechazado,fecha_nula_o_invalida
122,16832,,7489.48,nan,fecha_nula_o_invalida
123,8567,,5749.7,Rechazado,fecha_nula_o_invalida
124,4535,,9389.56,nan,fecha_nula_o_invalida
125,17509,,1154.08,Cerrado,fecha_nula_o_invalida
126,13007,,13629.62,Rechazado,fecha_nula_o_invalida
128,24167,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
129,8836,,1652.79,Abierto,fecha_nula_o_invalida
130,14357,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
131,21837,2025-09-05,,nan,monto_siniestro_no_valido
132,1290,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
133,5720,2025-02-28,,Abierto,monto_siniestro_no_valido
134,7223,2025-04-22,,Abierto,monto_siniestro_no_valido
135,24992,,302.32,Abierto,fecha_nula_o_invalida
136,9670,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
137,23959,,13295.74,Cerrado,fecha_nula_o_invalida
138,22384,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
139,21305,,12134.64,Rechazado,fecha_nula_o_invalida
140,21427,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
141,25512,2025-12-26,,Abierto,monto_siniestro_no_valido
142,14587,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
143,2790,2025-10-13,,Rechazado,monto_siniestro_no_valido
144,7956,2025-01-01,,Abierto,monto_siniestro_no_valido
145,5744,,3902.65,Abierto,fecha_nula_o_invalida
147,3192,,9549.21,Cerrado,fecha_nula_o_invalida
148,9556,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
150,14981,2025-01-31,,Rechazado,monto_siniestro_no_valido
151,2464,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
152,22723,2025-09-09,,Abierto,monto_siniestro_no_valido
153,7402,2025-03-26,,Abierto,monto_siniestro_no_valido
154,11333,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
155,17654,,13419.79,nan,fecha_nula_o_invalida
156,16853,2025-03-09,,Abierto,monto_siniestro_no_valido
157,22187,,4984.64,Cerrado,fecha_nula_o_invalida
159,2123,2025-11-12,,Cerrado,monto_siniestro_no_valido
163,3344,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
164,3953,,14622.5,Cerrado,fecha_nula_o_invalida
165,3478,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
166,3400,,11123.38,nan,fecha_nula_o_invalida
167,19661,,5398.38,Cerrado,fecha_nula_o_invalida
168,6501,,3552.32,Cerrado,fecha_nula_o_invalida
170,14794,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
171,6401,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
172,10449,2025-03-29,,Abierto,monto_siniestro_no_valido
173,11295,2025-04-24,,Rechazado,monto_siniestro_no_valido
174,25761,2025-10-12,,Rechazado,monto_siniestro_no_valido
176,14992,,7840.46,Abierto,fecha_nula_o_invalida
177,15938,,13797.55,nan,fecha_nula_o_invalida
178,22497,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
179,12699,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
181,3779,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
182,6051,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
183,15820,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
185,23960,,2485.0,Cerrado,fecha_nula_o_invalida
186,14257,2026-01-14,,Abierto,monto_siniestro_no_valido
187,17116,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
188,9285,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
189,11691,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
190,15565,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
193,19056,2025-12-02,,Abierto,monto_siniestro_no_valido
194,13685,,8942.15,Abierto,fecha_nula_o_invalida
196,4434,2025-03-11,,Cerrado,monto_siniestro_no_valido
197,5812,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
198,3833,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
199,15158,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
201,10253,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
202,6793,2025-08-30,,Cerrado,monto_siniestro_no_valido
203,21133,,4564.31,Rechazado,fecha_nula_o_invalida
204,11440,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
205,15065,2026-02-09,,Cerrado,monto_siniestro_no_valido
207,10666,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
208,5006,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
210,14034,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
211,18427,2025-12-18,,Cerrado,monto_siniestro_no_valido
212,14352,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
213,1279,2025-02-07,,Rechazado,monto_siniestro_no_valido
214,16890,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
216,8726,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
217,14431,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
219,25727,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
220,2535,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
221,2986,,9139.78,Cerrado,fecha_nula_o_invalida
222,13632,,14814.18,Cerrado,fecha_nula_o_invalida
223,2629,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
224,19260,2026-02-14,,Abierto,monto_siniestro_no_valido
225,19366,,851.04,nan,fecha_nula_o_invalida
226,12950,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
228,9398,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
229,16087,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
230,19159,2025-01-09,,Cerrado,monto_siniestro_no_valido
231,16670,,12582.5,Rechazado,fecha_nula_o_invalida
232,3014,,9726.96,Cerrado,fecha_nula_o_invalida
234,16501,2025-10-04,,nan,monto_siniestro_no_valido
235,23798,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
236,22678,2025-11-11,,Abierto,monto_siniestro_no_valido
237,24184,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
238,19973,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
239,22979,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
240,15810,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
241,20874,2025-01-29,,Cerrado,monto_siniestro_no_valido
243,9965,,4275.37,nan,fecha_nula_o_invalida
244,3256,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
245,5447,2025-08-20,,Abierto,monto_siniestro_no_valido
246,11329,,11681.88,Abierto,fecha_nula_o_invalida
247,23410,,8598.25,nan,fecha_nula_o_invalida
249,18003,,14986.14,nan,fecha_nula_o_invalida
250,2158,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
251,21022,2025-07-18,,Rechazado,monto_siniestro_no_valido
252,2267,,12762.64,Abierto,fecha_nula_o_invalida
253,1765,,10785.64,Abierto,fecha_nula_o_invalida
254,22116,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
255,24181,2025-02-09,,nan,monto_siniestro_no_valido
256,1939,,7149.72,nan,fecha_nula_o_invalida
257,15563,,7905.89,Cerrado,fecha_nula_o_invalida
258,7251,,359.56,Abierto,fecha_nula_o_invalida
260,17781,,14206.04,nan,fecha_nula_o_invalida
261,9851,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
262,17232,2025-02-27,,Abierto,monto_siniestro_no_valido
263,6744,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
264,13686,2025-10-09,,Abierto,monto_siniestro_no_valido
265,217,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
266,18359,2025-07-22,,Rechazado,monto_siniestro_no_valido
267,13995,,6273.55,nan,fecha_nula_o_invalida
269,20302,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
270,21104,,8284.25,Abierto,fecha_nula_o_invalida
271,16423,2025-10-06,,nan,monto_siniestro_no_valido
272,11306,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
273,14467,,2855.89,Abierto,fecha_nula_o_invalida
275,19524,,10334.68,Abierto,fecha_nula_o_invalida
276,24025,,12873.15,Cerrado,fecha_nula_o_invalida
277,4835,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
278,12350,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
280,3145,,,nan,"fecha_nula_o_invalida,monto_siniestro_no_valido"
282,11387,,5370.01,Cerrado,fecha_nula_o_invalida
283,17276,,8841.01,nan,fecha_nula_o_invalida
284,4685,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
285,17418,,5091.35,Abierto,fecha_nula_o_invalida
286,14149,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
287,17519,,,Rechazado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
288,19817,,,Abierto,"fecha_nula_o_invalida,monto_siniestro_no_valido"
289,2525,,6583.18,Cerrado,fecha_nula_o_invalida
290,23857,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
291,367,,9606.53,nan,fecha_nula_o_invalida
293,10362,2025-09-24,,nan,monto_siniestro_no_valido
294,21932,,9926.07,Abierto,fecha_nula_o_invalida
296,2362,2026-01-11,,Rechazado,monto_siniestro_no_valido
297,7821,,,Cerrado,"fecha_nula_o_invalida,monto_siniestro_no_valido"
298,6809,,1486.47,nan,fecha_nula_o_invalida
299,11447,2026-02-08,,Cerrado,monto_siniestro_no_valido
300,13999,,331.95,Abierto,fecha_nula_o_invalida
